filename,class_name,stem,raw_split,threshold,pred_area,iou,dice,precision,recall,f1,specificity,pixel_accuracy,tp,fp,fn,tn
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.1,0.0878109056122449,0.03406055209185083,0.06587728740439447,0.03472537448854459,0.6401673637488839,0.06587727764182842,0.9148326891865454,0.9135243941308324,153,4253,86,45684
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.2,0.08189174107142858,0.03647199046396968,0.0703771849109849,0.03723533706407312,0.6401673637488839,0.07037717452009938,0.9207801830287747,0.919443558671637,153,3956,86,45981
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.3,0.07828443877551021,0.03811659192730153,0.07343412526821613,0.03895112016194117,0.6401673637488839,0.07343411445330178,0.9244047499831299,0.9230508609675481,153,3775,86,46162
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.4,0.07555404974489796,0.03946350270726171,0.07593052108992729,0.04035874439355424,0.6401673637488839,0.07593050993042422,0.9271482067386364,0.9257812499981549,153,3638,86,46299
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.5,0.07284359056122448,0.040898155572282865,0.07858243451261987,0.04186046511513378,0.6401673637488839,0.07858242298872258,0.9298716382623508,0.928491709181823,153,3502,86,46435
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.6,0.0703125,0.04233536247807595,0.08123174940055132,0.04336734693754628,0.6401673637488839,0.08123173751432579,0.9324148426999371,0.9310227997430425,153,3375,86,46562
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.7,0.0670639349489796,0.04433497536817343,0.08490566037500262,0.04546805349047643,0.6401673637488839,0.08490564798914878,0.935678955482036,0.9342713647940564,153,3212,86,46725
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.8,0.0625797193877551,0.0474271543692676,0.09055933707929685,0.048726114648129745,0.6401673637488839,0.09055932393099607,0.94018463263524,0.938755580355272,153,2987,86,46950
to_label_134.jpg,ALGAL_LEAF_SPOT,to_label_134,test,0.9,0.054408482142857144,0.05433238636170695,0.10306500504873477,0.056043956041903153,0.6401673637488839,0.10306499024156986,0.9483949776699674,0.9469268176001536,153,2577,86,47360
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.1,0.0813735650510204,0.07974683544135555,0.14771395075913024,0.09257898603740929,0.3652173912690611,0.1477139184899515,0.9246047088970013,0.9130660076512415,378,3705,657,45436
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.2,0.07037228954081633,0.08585017835705469,0.15812527375913,0.10223732653349654,0.34879227049770123,0.15812523869693906,0.9354917482327679,0.9233896683655066,361,3170,674,45971
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.3,0.06505102040816327,0.08725341426182971,0.16050244242473827,0.10569852940852639,0.3333333333011272,0.1605024058627457,0.9405994993977725,0.9280731823961096,345,2919,690,46222
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.4,0.060845822704081634,0.08868175765409636,0.16291585126803043,0.10907304290504183,0.32173913040369667,0.1629158134480726,0.944649071038553,0.9318000637736531,333,2720,702,46421
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.5,0.05697943239795918,0.08831749580524546,0.16230097585612993,0.11052815669428023,0.3053140096323368,0.16230093682250557,0.9482509513421619,0.9349888392838509,316,2543,719,46598
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.6,0.0528938137755102,0.08787968150728753,0.16156139874867007,0.112283345888761,0.287922705286191,0.16156135837474642,0.9520563277081214,0.9383569834164972,298,2356,737,46785
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.7,0.0478515625,0.08768597657208972,0.1612339930104414,0.11536859641335409,0.2676328502156876,0.1612339509082706,0.9567774363546595,0.9425621811205704,277,2124,758,47017
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.8,0.04021843112244898,0.0857041251747616,0.15787749753822872,0.11942517343313055,0.2328502415233961,0.1578774527165741,0.9638387497182316,0.9487603635185173,241,1777,794,47364
to_label_177.jpg,ALGAL_LEAF_SPOT,to_label_177,test,0.9,0.023875956632653062,0.0704697986543399,0.13166144200037344,0.12270450750227842,0.14202898549352375,0.1316613922609166,0.9786125638448981,0.9613560267837983,147,1051,888,48090
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.1,0.1278499681122449,0.11264402668113033,0.20247990189123205,0.11582229150248134,0.804112554025529,0.20247987987823177,0.88483716397124,0.8833506058655864,743,5672,181,43580
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.2,0.11760602678571429,0.11775302980481898,0.21069597069288357,0.1218437552936478,0.778138528054314,0.21069594727867483,0.8947859985363137,0.8926379145390373,719,5182,205,44070
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.3,0.11176658163265306,0.11887632750738479,0.21249234537335437,0.12375178316469772,0.7510822510009652,0.21249232108065746,0.9002274019310886,0.8974808673451501,694,4914,230,44338
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.4,0.10674426020408163,0.12002853575673215,0.2143312101876699,0.12565347273850536,0.728354978276152,0.21433118508717688,0.9049175667974805,0.9016661352022846,673,4683,251,44569
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.5,0.10271843112244898,0.1211953514089431,0.21618953602803243,0.12747380674956396,0.7110389609620088,0.21618951024198077,0.9086940631834064,0.9050542091818697,657,4497,267,44755
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.6,0.09817442602040816,0.12284069097652897,0.21880341879967857,0.12992285830024516,0.6926406925657316,0.21880339219575748,0.9129781531695911,0.9089205994879844,640,4286,284,44966
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.7,0.09329161352040816,0.12618042997536308,0.22408563781937405,0.13415936765361763,0.6796536795801241,0.22408561028010732,0.9177089255240036,0.913325095661445,628,4053,296,45199
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.8,0.08629623724489796,0.1301355130107521,0.2303007232540864,0.13972286373811263,0.6547619046910431,0.23030069426227584,0.9243685535593998,0.9194036989777594,605,3725,319,45527
to_label_19.jpg,ALGAL_LEAF_SPOT,to_label_19,train,0.9,0.07224569515306123,0.13924367643027188,0.2444493295175984,0.15337931034059643,0.6017316016664793,0.24444929713959,0.9376878096301923,0.9315011160695721,556,3069,368,46183
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.1,0.18339445153061223,0.04175185623542718,0.08015700857266649,0.04216474679371696,0.8100208766576157,0.08015699916578929,0.8226452300927165,0.8225247130085648,388,8814,91,40883
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.2,0.16454081632653061,0.04236276849591452,0.08128219805287598,0.04299903100723111,0.7411273484882823,0.08128218768599044,0.8410165603540636,0.8400629783146523,355,7901,124,41796
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.3,0.15302136479591838,0.04202861522685196,0.08066691185385967,0.04284970044226557,0.6868475990215349,0.08066690079802638,0.8521238706544618,0.8505460778044273,329,7349,150,42348
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.4,0.14353475765306123,0.03951820273325865,0.07603176669605478,0.04054429325131152,0.6096033401650097,0.07603175500052801,0.8609574018535103,0.8585578762737991,292,6910,187,42787
to_label_197.jpg,ALGAL_LEAF_SPOT,to_label_197,test,0.5,0.1346061862244898,0.037137940922897364,0.07161620351069244,0.03834764583893474,0.5407098119956765,0.0716161911419847,0.869308006517759,0.8661710778043962,259,6495,220,43202
