version,name,model,checkpoint_note,gt_pred_iou,gt_pred_dice,gt_pred_precision,gt_pred_recall,gt_pred_pixel_accuracy,pseudo_gt_all_iou,pseudo_gt_all_dice,pseudo_gt_all_precision,pseudo_gt_all_recall,pseudo_gt_available_iou,pseudo_gt_available_dice,pseudo_gt_available_precision,pseudo_gt_available_recall,pseudo_available,pseudo_missing,pseudo_test_iou,pseudo_test_dice,pseudo_test_precision,pseudo_test_recall
V1,Grad-CAM + U-Net baseline,EfficientNet encoder U-Net,baseline checkpoint,0.2168885025365934,0.3564640508715321,0.24597370483797915,0.6471701322444839,,0.1715724189443388,0.2928925539215688,0.24806729929412222,0.3574903261468905,0.2184541828527801,0.3585759496369587,0.24806729929412222,0.6466403101247218,44,36,0.8126127489293522,0.881305718159725,0.8850904023182965,0.9091187132694114
V2,Grad-CAM++ + U-Net++,segmentation_models_pytorch UnetPlusPlus,"rerun checkpoint, best validation IoU at epoch 22",0.19715771440288682,0.32937634203230154,0.245899061234623,0.4986605434364508,0.8810355050222994,0.12366816058849034,0.22011509256206482,0.23610022157820443,0.20615724794820506,0.17055212565733716,0.29140458065728875,0.23610022157820443,0.3805434765542295,40,40,0.5088447755132459,0.6181469656442156,0.6302123651354344,0.6951535062839992
V3,SAM refinement diagnostic,U-Net++ trained on SAM-refined pseudo masks,"rerun checkpoint, best validation IoU at epoch 14",0.1351381060131238,0.23809984934390246,0.14087384642246636,0.7684696177230222,,0.1312032763530595,0.23197117458155184,0.16331272035754085,0.4002338733680315,0.15439744756934223,0.2674944368500397,0.16331272035754085,0.7387874601648806,40,40,0.6780899325265606,0.7566972814596776,0.772329657525713,0.8664052556786735
V5,Color-prior pseudo-labels + segmentation,U-Net++ trained on color-prior pseudo masks,"rerun checkpoint, best validation IoU at epoch 28",0.2182517798522566,0.3583032398749708,0.2358214696925359,0.7455075052086807,,0.15797184667710326,0.2728422925486775,0.2227006239242086,0.3521239954074278,0.19885311682786935,0.3317389161968881,0.2227006239242086,0.6499819469077016,40,40,0.5083724895811926,0.6029893168402302,0.666539869881646,0.6686940806023927
