filename,class_name,threshold,pred_area,iou,dice,precision,recall,f1,pixel_accuracy,specificity,tp,fp,fn,tn
to_label_134.jpg,ALGAL_LEAF_SPOT,0.1,0.020926339285714284,0.13568281937130547,0.2389449185229678,0.1466666666526984,0.6443514641655433,0.23894488829717248,0.9804488201511072,0.9820573923123495,154,896,85,49041
to_label_134.jpg,ALGAL_LEAF_SPOT,0.2,0.014449139030612245,0.1886559802480079,0.31742738585918806,0.2110344827295125,0.6401673637488839,0.317427348534594,0.9868861607123188,0.9885455674129632,153,572,86,49365
to_label_134.jpg,ALGAL_LEAF_SPOT,0.3,0.011160714285714286,0.23684210522649504,0.3829787233563231,0.2732142856654975,0.6401673637488839,0.3829786813786366,0.9901745854572103,0.9918497306586462,153,407,86,49530
to_label_134.jpg,ALGAL_LEAF_SPOT,0.4,0.008848852040816327,0.2886792452285511,0.448023425995897,0.34459459451698315,0.6401673637488839,0.4480233804346987,0.9924864477021036,0.9941726575465203,153,291,86,49646
to_label_134.jpg,ALGAL_LEAF_SPOT,0.5,0.006576849489795918,0.3547619046774376,0.5237258347058479,0.4515151513783287,0.6234309620822465,0.5237257858926846,0.9945990114776097,0.9963754330436422,149,181,90,49756
to_label_134.jpg,ALGAL_LEAF_SPOT,0.6,0.004763233418367347,0.3775216137240571,0.5481171546970466,0.5481171545823778,0.5481171545823778,0.5481171045823823,0.9956951530592401,0.9978372749644595,131,108,108,49829
to_label_134.jpg,ALGAL_LEAF_SPOT,0.7,0.0030691964285714285,0.34589041084044847,0.5139949108106883,0.655844155418283,0.4225941420825966,0.5139948630188649,0.9961933992327084,0.9989386627130206,101,53,138,49884
to_label_134.jpg,ALGAL_LEAF_SPOT,0.8,0.0001793686224489796,0.03765690374993435,0.07258064513202393,0.9999999888888891,0.03765690374993435,0.07258063810809112,0.9954161352020978,0.9999999999979975,9,0,230,49937
to_label_134.jpg,ALGAL_LEAF_SPOT,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9952367665796491,0.9999999999979975,0,0,239,49937
to_label_177.jpg,ALGAL_LEAF_SPOT,0.1,0.14006696428571427,0.038511076764058336,0.07416594319640127,0.04254410927657166,0.2888888888609769,0.0741659208181318,0.8512236926003444,0.8630674996421256,299,6729,736,42412
