architecture,best_val_iou,best_val_loss,checkpoint,experiment,label,manual_gt_dice,manual_gt_iou,manual_gt_precision,manual_gt_recall,pseudo_label,pseudo_mean_coverage,pseudo_num_masks,task,test_accuracy,test_dice,test_f1,test_iou,test_loss,test_precision,test_recall
,,,E:\Master\thesis-clean\notebooks\models\classification\checkpoints\best_model.pth,classification_efficientnet_b0,,,,,,,,,classification,0.9719101123595506,,0.9719124158244193,,,0.972232436668062,0.9719101123595506
EfficientNet-B0 encoder + custom U-Net decoder,0.8149763113277255,0.25380360930833423,E:\Master\thesis-clean\notebooks\models\segmentation\checkpoints\efficientnet_unet_best.pth,gradcam_unet,GradCAM baseline,0.3564640508715321,0.2168885025365934,0.24597370483797915,0.6471701322444839,Single-layer Grad-CAM with fixed threshold,0.16976623085707382,3104,segmentation,,0.881305718159725,,0.8126127489293522,0.2504551048209984,0.8850904023182965,0.9091187132694114
UNet++ with EfficientNet-B0 encoder,0.48624955017824206,0.6180315531710143,E:\Master\thesis-clean\notebooks\models\segmentation_v2\checkpoints\unetpp_best.pth,gradcampp_unetpp,GradCAM++ pseudo-labels,,,,,Multi-scale GradCAM++ with adaptive percentile threshold,0.07336909901887624,3104,segmentation,,0.6181469656442156,,0.5088447755132459,0.6368098054759253,0.6302123651354344,0.6951535062839992
UNet++ with EfficientNet-B0 encoder,0.6837518722593365,0.4473446995019913,E:\Master\thesis-clean\notebooks\models\segmentation_v3\checkpoints\unetpp_v3_best.pth,sam_guard_unetpp,SAM refinement diagnostic,0.23809984934390246,0.1351381060131238,0.14087384642246636,0.7684696177230222,SAM-refined GradCAM++ masks with two-sided coverage guard,0.2542676839381049,3104,segmentation,,0.7566972814596776,,0.6780899325265606,0.46421136207703095,0.772329657525713,0.8664052556786735
UNet++ with EfficientNet-B0 encoder,0.49466262566994174,0.6451879008482861,E:\Master\thesis-clean\notebooks\models\segmentation_v5\checkpoints\unetpp_v5_best.pth,color_prior_unetpp,Disease color prior,0.3583032398749708,0.2182517798522566,0.2358214696925359,0.7455075052086807,GradCAM++ intersected with class-specific disease color priors,0.13185184798992083,3104,segmentation,,0.6029893168402302,,0.5083724895811926,0.6540430929727167,0.666539869881646,0.6686940806023927
